num,PastExperience,STR,DEX,CON,INT,WIS,CHA,Athletics,Acrobatics,SleightOfHand,Stealth,Arcana,History,Investigation,Nature,Religion,AnimalHandling,Insight,Medicine,Perception,Survival,Deception,Intimidation,Performance,Persuasion,Tools,Instruments,Renown,Contacts,ExtraLanguages,Language,ExtraCantrips,Cantrip,ExtraSpells,Spells,ExtraItems,Speed,CarryWeight,BonusSkills,Handicap,Appearance,Platinum,Gold,Silver,Copper,Rank
29,Farm Job pays the bills.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,,0,0,0,,0,,0,,,0,0,,,,0,0,0,500,0
30,Got drunk and passed out in a stack of books. Something stuck.,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,,0,,,0,0,,,,0,0,0,0,0
31,Have a natural talent for negotiation,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,,0,0,0,,0,,0,,,0,0,,,,0,0,0,0,0
32,Grew up as an orphan on the streets,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,0,3,0,,0,,0,,,0,0,,,,0,0,0,0,0
33,You were groomed to be the village storyteller,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,,0,,0,,,0,0,,,,0,0,0,0,0
34,You grew up picking pockets,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,,0,,0,,,0,0,,,,0,0,0,0,0
35,Cut across the face in a bar fight.,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,0,0,0,,0,,0,,,0,0,,,,0,0,0,0,0
36,You track and hunted creatures opposed to your morality.,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,,0,0,0,,0,,0,,,0,0,,,,0,0,0,0,0
37,Your vilage was attacked when you were a child. You harbor urges for revenge. ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,0,0,0,,0,,0,,,0,0,Favored enemy bandits.  Choose nemisis bandit leader.,,,0,0,0,0,0
38,"After a string of  defeats, you learned humility.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,0,0,0,,0,,0,,,0,0,,,,0,0,0,0,0
39,You use your charm on others for your advantage,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,0,0,,0,,0,,,0,0,,,,0,0,0,0,0
40,Trained as village bell ringer,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,,0,,,0,0,,,,0,0,0,50,0
41,Allowed to train with monks.,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,,0,,,0,0,hands/feet attacks become 1d4 damage,,,0,0,0,0,0
42,"You accidently killed somebody in a fight, you feel bad about it.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,-1,0,0,,0,,0,,,0,0,,Owe a blood price (werguld),,0,0,0,0,0
43,Voice cracks every time you try to speak,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,-1,0,0,,0,,0,,,0,0,,,,0,0,0,0,0
44,You swam a great lake near your hometown.,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,,0,,0,,,0,0,,,,0,0,0,0,0
45,You can walk on hot coals.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,,0,,0,,,0,0,,,,0,0,0,0,0
46,Supervised a trade caravan on a long dangerous trek,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,,0,,0,,,0,0,,,,0,0,0,0,0
47,Assisted a clock maker for many weeks.,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tinker Tools,,0,0,0,,0,,0,,,0,0,,,,0,0,0,0,0
48,Eloquent speaker with a huge vocabulary,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,0,0,0,,0,,0,,,0,0,,,,0,0,0,0,0
49,Suffered hand injury while loading crates.,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,,0,,,0,0,,,,0,0,0,0,0
50,Worked as a bouncer at a local pub,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,,0,,,0,0,,,,0,0,200,0,0
51,"Didn't pay back a debt to some shady people, leg broken.",0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,,0,,,-5,0,,,,0,5,0,0,0
52,Born Leader,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,0,0,0,,0,,0,,,0,0,,,,0,0,0,0,0
53,Your people are renowned for their archery skills,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,,0,,any bow,0,0,Proficiency with bows,,,0,0,0,0,0
54,You are a master at lying.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,,0,0,0,,0,,0,,,0,0,,,,0,0,0,0,0
55,Captured live birds and sold them to travelers,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0,0,,0,,0,,,0,0,,,,0,0,30,0,0
56,Body odor is unbearable,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,,0,,,0,0,,,,0,0,0,0,0
57,On a dare you found a needle in a haystack,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sewing Kit,,0,0,0,,0,,0,,,0,0,,,,0,0,0,0,0
58,Crossed a 300 foot rope bridge in a wind storm,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,,0,,0,,,0,0,,,,0,0,0,0,0
59,You made a chunk of money arm wrestling in pubs.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,,0,,0,,,0,0,,,,0,10,0,0,0
60,Youngest person elected to the Town Council,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,,0,,0,,,0,0,On the Town Council,,,0,0,0,0,0
61,Studied under an enlightened monk,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,,,0,0,0,,0,,0,,,0,0,,,,0,0,0,0,0
62,Worked as a guard. Secured prisoners.,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,,0,,Manaclees and key,0,0,,,,0,0,0,0,0
63,Manual labor job,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,,0,,,0,0,,,,0,0,300,0,0
64,Chopped wood for days at a time after your last breakup,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,,0,,Hand Axe,0,0,,,,0,0,0,0,0
65,Survived in the wild for a month after a natural disaster,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,,0,0,0,,0,,0,,,0,0,,,,0,0,0,0,0
66,Part-time blacksmith,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Smithing Tools,,0,1,0,,0,,0,,,0,0,,,,0,0,0,0,0
67,Escaped a prison after you were wrongly arrested,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,0,0,0,,0,,0,,,0,0,,,,0,0,0,0,0
68,You are a talented Tenor,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,,0,,,0,0,May perform for lodging at Inn/Tavern,,,0,0,0,0,0
69,Spent time as a snake handler,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0,0,,0,,0,,,0,0,,,,0,0,0,0,0
70,Gamble Frequently. Great Bluffer,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,,0,0,0,,0,,0,,,0,0,,,,0,0,0,0,0
71,"You have an affinity for the law, but you have never gone to school.",0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,,0,,,0,0,,,,0,0,0,0,0
72,"When you were born you were left to die, you survived.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,0,0,0,,0,,0,,,0,0,,,,0,0,0,0,0
73,Lived with a native tribe for a while. Learned survival.,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,,0,0,0,,0,,0,,,0,0,,,,0,0,0,0,0
74,Competed in a strong man event. Came in third.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,,0,,0,,,0,0,,,,0,0,0,0,0
75,You are full of useless trivia,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,,0,,,0,0,,,,0,0,0,0,0
76,Survived torture to reveal a partner's location. Didn't break.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,,0,,0,,,0,0,Adv on concentration,,,0,0,0,0,0
77,Circus work. Tight-rope walker,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,,0,,0,,,0,0,,,,0,0,0,0,0
78,Worked as an undercover spy for rival nobles.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,0,0,,0,,0,,,0,0,,,,0,5,0,0,0
79,Make a meager living picking pockets,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,,0,,,0,0,,,,0,0,0,0,0
80,"You are a Charasmatic Rabble Rouser, started 5 riots.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,0,0,0,,0,,0,,,0,0,,,,0,0,0,0,0
81,Apprenticed as a sculptor,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stone working tools,,0,1,0,,0,,0,,,0,0,,,,0,0,0,0,0
82,You are wonderful with children. They love you.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,,0,,,0,0,Extra speech options with children,Children will assist you in easy tasks,,0,0,0,0,0
83,Your people are persecuted. The clergy hid and cared for you.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,,0,,0,,,0,0,,Bounty Hunters look for you,,0,0,0,0,0
84,Carried a broken wagon four miles to the nearest town,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,,0,,0,,,0,0,,,,0,0,0,0,0
85,You survived a Demonic possession as a child,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,Infernal,0,,0,,,0,0,While detecting Alignment you will have tinges of chaotic evil in your aura,,,0,0,0,0,0
86,You collect rare books,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,,0,,,0,0,,,,0,0,0,0,0
87,Self-taught on the flute,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,flute,0,0,0,,0,,0,,,0,0,,,,0,0,0,0,0
88,You have great hand-eye coordination,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,,0,,,0,0,,,,0,0,0,0,0
89,You know every pub song ever sung,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,0,0,0,,0,,0,,,0,0,"If singing at Pub don not need to pay room, board, or drinks",,,0,0,0,0,0
90,Worked the ropes on a ship for a month.,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,,0,,,0,0,Sailor Feature,,,0,0,0,0,0
91,Joined Village Militia ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,,0,,,0,0,Choose a weapon prophiciency,,,0,0,0,0,0
92,Attended to the injured after an earthquake,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,,0,0,0,,0,,0,,,0,0,,,,0,0,0,0,0
93,Flag Bearer for a Lord,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,,0,,0,,,0,0,,,,0,0,0,0,0
94,Forgave an enemy of his deathbed,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,,0,,,0,0,,,,0,0,0,0,0
95,Leader of a bandit crew,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,-1,0,0,,0,,0,,,0,0,,,,0,3,0,0,0
96,Worked as the town animal catcher,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0,0,,0,,0,,,0,0,,,,0,0,50,0,0
97,Construction work at nearby Keep,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,,0,,0,,,0,0,,,,0,5,0,0,0
98,Traded in scrolls for a brief time,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,,0,,"three lvl 1 scrolls, one lvl 2 scroll",0,0,,,,0,0,0,0,0
99,You can hold your breath for 5 min,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,,0,,,0,0,You can hold your breath for 30 rounds,,,0,0,0,0,0
100,A god answered your prayer,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,,0,,,0,0,,,,0,0,0,0,0
